trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,shape_id
db555484-05fc-4b06-b0d6-4ca649293324,O0905AAA0A,S_REG,Bonsucesso,905,1,O0905AAA0AVDU01
f3efd97c-ef11-40a5-9b2d-061f2d76884b,O0905AAA0A,S_REG,Bonsucesso,905,1,O0905AAA0AVDU01
0fb9b1d7-77c7-4647-9034-bd1c992b4839,O0905AAA0A,S_REG,Bonsucesso,905,1,O0905AAA0AVDU01
4e7594dc-8fda-4993-94ac-93b9a3f23282,O0905AAA0A,S_REG,Bonsucesso,905,1,O0905AAA0AVDU01
6a6b7d87-518b-457a-afb6-e22b5579e0e0,O0905AAA0A,S_REG,Bonsucesso,905,1,O0905AAA0AVDU01
22c29921-1a44-4fed-9022-7822a9268905,O0905AAA0A,S_REG,Bonsucesso,905,1,O0905AAA0AVDU01
b4fea8d0-63ff-4bb9-a9e6-2e6dcef4a0e0,O0905AAA0A,S_REG,Bonsucesso,905,1,O0905AAA0AVDU01
a00ec869-ed6b-443a-a8a5-90591ba940b3,O0905AAA0A,S_REG,Bonsucesso,905,1,O0905AAA0AVDU01
d0d86b51-0576-451c-b7d1-fda6f34f521e,O0905AAA0A,S_REG,Bonsucesso,905,1,O0905AAA0AVDU01
7a5ee92b-e46d-4993-ae34-1231f5ac7e96,O0954AAA0A,U_REG,Recreio dos Bandeirantes,954,0,39yj
114d5819-627d-4562-bc90-8fa1c8b4b63c,O0906AAA0A,U_REG,Jardim América,906,1,O0906AAA0AVDU02
11755bdc-9627-4113-80db-a545c1d7ea7c,O0774AAA0A,D_REG,Jardim América,774,0,i9sp
c43c27a7-2d3d-4658-bcc0-1d045d7fadd5,O0774AAA0A,D_REG,Jardim América,774,0,i9sp
b2f8e785-a2c1-4f96-a923-4cf32d9e7488,O0774AAA0A,D_REG,Jardim América,774,0,i9sp
c33ba775-cddb-4418-b25f-abac4a3c1290,O0774AAA0A,D_REG,Jardim América,774,0,i9sp
fc616580-adf2-4a90-9aab-acd1bee54a49,O0774AAA0A,D_REG,Madureira,774,1,n7a5
828ff059-f712-4ce3-8ade-ef8cdfb7ff43,O0774AAA0A,D_REG,Madureira,774,1,n7a5
7aa7b51d-13a8-4995-acf4-0182d44d0bab,O0774AAA0A,D_REG,Madureira,774,1,n7a5
01e8b9cd-45c5-4f42-9b71-befd696ae86b,O0409AAA0A,S_REG,Horto,409,0,gnoq
16fb54f5-4cc6-4805-9d50-9a7167394428,O0802AAA0A,D_REG,Terminal Campo Grande,802,1,O0802AAA0AIDU01
8fb694d6-374c-4934-8671-a603bfe0d5f0,O0613AAA0A,U_REG,Metrô Del Castilho,613,0,fu9d
081f8650-809b-479f-88a6-02384dc56e82,O0613AAA0A,U_REG,Vargem Grande,613,1,mir4
d9586677-e086-48a4-8ef5-20521178ff5a,O0829AAA0A,U_REG,Freguesia,829,0,O0829AAA0AIDU01
cd41057a-379f-45d7-ba21-cfdb6ba794e8,O0829AAA0A,U_REG,Freguesia,829,0,O0829AAA0AIDU01
ed2dc912-6617-4614-b1b2-4507f9d85f86,O0625AAA0A,D_REG,Saens Peña,625,0,iird
493647a5-51e9-4e07-9ba4-309368337081,O0774AAA0A,D_REG,Jardim América,774,0,i9sp
bef478d5-960a-4079-aaef-1843089c2fba,O0774AAA0A,D_REG,Jardim América,774,0,i9sp
2e2dc9b8-a2ea-4c03-b91b-9227929f4b62,O0878AAV0A,D_REG,Terminal Tanque,SV878,1,ussh
c48af109-7e7f-4998-be29-88bbfe69d1e3,O0774AAA0A,D_REG,Jardim América,774,0,i9sp
a910ff34-896e-42af-a0cd-28ffe1116330,O0774AAA0A,D_REG,Jardim América,774,0,i9sp
4bc77c99-dea8-4505-a81f-d05b325882f8,O0774AAA0A,D_REG,Jardim América,774,0,i9sp
8e3c8fc6-6e00-4ebe-a5d5-d399830058cb,O0774AAA0A,D_REG,Jardim América,774,0,i9sp
242985a5-46d0-465a-820c-d377c236305d,O0774AAA0A,D_REG,Madureira,774,1,n7a5
1557e574-e803-4365-ae9b-7419a07d62ff,O0625AAA0A,D_REG,Saens Peña,625,0,iird
482c3907-f4f4-470b-bfff-e0294d59dff3,O0897AAN0A,S_REG,Terminal Pingo D'Água,SN897,0,O0897AAA0AIDU01
f654bbd9-76cb-4e63-b817-e2316cb00403,O0954AAA0A,U_REG,Recreio dos Bandeirantes,954,0,39yj
763c5a2a-a30e-4ea6-b211-6ebe7b8fa82e,O0918AAP0A,D_REG,Jardim Violeta,SP918,1,O0769AAA0AVDU01
0cf542f8-b579-4ddb-a443-29c28f0be5bb,O0918AAP0A,D_REG,Jardim Violeta,SP918,1,O0769AAA0AVDU01
9e0849da-86a1-427a-879c-7b5e17920de3,O0918AAP0A,D_REG,Jardim Violeta,SP918,1,O0769AAA0AVDU01
d85a007e-4e70-4506-a1e2-c6cdc7d21c0c,O0918AAP0A,D_REG,Jardim Violeta,SP918,1,O0769AAA0AVDU01
1e19342b-3794-4201-ac4a-f497844dfa33,O0918AAP0A,D_REG,Jardim Violeta,SP918,1,O0769AAA0AVDU01
284f42ee-4dd3-4f56-84c4-0083c7222c1e,O0639AAA0A,D_REG,Saens Peña,639,0,axhq
8c91c347-ab57-432b-b674-48a3660d19da,O0639AAA0A,D_REG,Jardim América,639,1,x0c0
7e9b6317-ec86-479b-a399-dd9ae4eb1eef,O0774AAA0A,D_REG,Madureira,774,1,n7a5
88fdded3-7b79-44f6-90c3-7c598a62277e,O0918AAP0A,D_REG,Jardim Violeta,SP918,1,O0769AAA0AVDU01
ea4aa72c-13e7-4286-a114-8e9df5b8a418,O0639AAA0A,D_REG,Saens Peña,639,0,axhq
c9b5e9b7-4ee7-498d-ac81-fa680bf92a47,O0608AAA0A,U_REG,Grajaú,608,1,uckl
1be177aa-0e76-470a-95a9-14721a706dc1,O0639AAA0A,D_REG,Saens Peña,639,0,axhq
a7b6ce70-0226-4e38-88a2-3ab2a0a8acba,O0639AAA0A,D_REG,Saens Peña,639,0,axhq
c812d669-7fcf-40c9-9dfa-50eed6a1c8ba,O0639AAA0A,D_REG,Saens Peña,639,0,axhq
b3cb4f45-706f-4a3a-9c53-bc87e6ac76db,O0639AAA0A,D_REG,Saens Peña,639,0,axhq
1b899c7c-0b65-4185-85f6-3551b0e057e2,O0639AAA0A,D_REG,Saens Peña,639,0,axhq
82893e82-ea23-4e6f-bc27-160c2e332daa,O0639AAA0A,D_REG,Saens Peña,639,0,axhq
5d87a62b-aaec-4fb2-9259-c7415ed10a57,O0639AAA0A,D_REG,Saens Peña,639,0,axhq
